,Delegates,Loan Matches,Scores
4933,John Phelps,John Phelps,100.0
35826,John Pickering,John Gee Pickering,95.0
35825,John Pickering,John Pickering,100.0
19373,John Pratt,John Pratt,100.0
4143,John Pride,John Pride,100.0
30692,John Ramsay,John Ramsay,100.0
16503,John Reynolds,John Reynolds,100.0
34296,John Rhea,John Rhea,100.0
15140,John Richards,John Richard,96.0
15143,John Richards,John Richard Watrous,86.4
15139,John Richards,John Richards,100.0
2460,John Rutherford,John Rutherford,100.0
467,John Rutherford,John rutherford deceased,90.0
7697,John Schenck,John H Schenck,95.0
38152,John Schenck,John P Schenck,95.0
13426,John Schenck,John P Schenk,88.0
13425,John Schenck,John Schenck,100.0
5428,John Schenck,John Schenk,95.65217391304348
34447,John Scott,John Scott,100.0
7253,John Scott,John Scott Clark,90.0
9924,John Sheaman Woodcock,John Shearman,86.4
25020,John Simmons,John C Simons,88.0
27099,John Simmons,John Simmonds,96.0
27098,John Simmons,John Simmons,100.0
25018,John Simmons,John Simons,95.65217391304348
18495,John Skinner,John Kinner,95.65217391304348
33583,John Skinner,John Skinner,100.0
14627,John Smith,John 1st Smith,95.0
14628,John Smith,John 2d Smith,95.0
14629,John Smith,John 3d Smith,95.0
14630,John Smith,John 4th Smith,95.0
14631,John Smith,John C Smith,95.0
14632,John Smith,John Jr. Smith,95.0
14633,John Smith,John K Smith,95.0
7753,John Smith,John L Smith,95.0
13613,John Smith,John Nic Smith,95.0
13612,John Smith,John Smith,100.0
14634,John Smith,John Sr. Smith,95.0
35345,John Spicer,John Spicer,100.0
19788,John Sprague,John Sprague,100.0
11624,John Steele,John P Steel,86.95652173913044
11619,John Steele,John Seele,95.23809523809524
10597,John Steele,John Steel,95.23809523809524
11618,John Steele,John Steele,100.0
1,John Stevens,John Steven,95.65217391304348
0,John Stevens,John Stevens,100.0
6291,John Stewart,John Stewart,100.0
16249,John Stokes,John Stokes,100.0
10730,John Stringer,John Stringer,100.0
10206,John Stuart,John Stuart,100.0
38843,John Sullivan,John Sullivan,100.0
33457,John Swan,John Swan,100.0
22101,John Taylor,John 1st Taylor,95.0
22102,John Taylor,John 2d Taylor,95.0
2546,John Taylor,John Spencer Taylor,85.5
20257,John Taylor,John Taylor,100.0
20259,John Taylor,John Taylor Gilman,90.0
22100,John Taylor,John Tylor,95.23809523809524
36103,John Taylor Gilman,John Gilman,85.5
36061,John Taylor Gilman,John Taylor,90.0
36060,John Taylor Gilman,John Taylor Gilman,100.0
26028,John Thomas,John A Thomas,95.0
28085,John Thomas,John G Thomas,95.0
26027,John Thomas,John Thomas,100.0
28084,John Thomas,Thomas John,95.0
30632,John Thompson,John Thompson,100.0
32740,John Thompson,John Thomson,96.0
30633,John Thompson,John Tompson,96.0
2717,John Treadwell,John Treadwell,100.0
2718,John Treadwell,John Tredwell,96.29629629629629
20344,John Turner,John Turner,100.0
8471,"John Tyler, Sr.",John Tyler,95.0
30146,John Wallace,John Wallace,100.0
2641,John Watson,John Watson,100.0
18891,John Webber,John Webber,100.0
36594,John Weeks,John Weeks,100.0
1754,John Welton,John Welon  Bouch,85.71428571428572
15327,John Whitehill,John Whitehill,100.0
3329,John Wilder,John George Wilder,85.5
12405,John Williams,John 1st Williams,95.0
12406,John Williams,John 2d Williams,95.0
11372,John Williams,John Davis Williams,95.0
11373,John Williams,John F Williams,95.0
11386,John Williams,John Foster Williams,85.5
11374,John Williams,John M Williams,95.0
6226,John Williams,John Mc Williams,95.0
11370,John Williams,John Wiliams,96.0
11371,John Williams,John William,96.0
11369,John Williams,John Williams,100.0
11378,John Williams,William John,91.19999999999999
2519,John Williams,john williams,100.0
34082,John Willis,John Willis,100.0
16309,John Willis,John Wills,95.23809523809524
11956,John Wilson,John 2d Wilson,95.0
10914,John Wilson,John Willson,95.65217391304348
10913,John Wilson,John Wilson,100.0
13697,John Winn,John Winn,100.0
16392,John Winthrop,John Winthrop,100.0
13298,John Wood,John Wood,100.0
21538,Jonathan Bullard,Jonathan Bullard,100.0
36199,Jonathan Chase,Jonathan Chase,100.0
29813,Jonathan Clark,Jonathan Clark,100.0
29814,Jonathan Clark,Jonathan Clarke,96.55172413793103
16932,Jonathan Cogswell,Jonathan Cogswell,100.0
20102,Jonathan Day,Jonathan Day,100.0
808,Jonathan Dayton,Jonathan Dayton,100.0
401,Jonathan Dayton,Jonathan I Dayton,95.0
36380,Jonathan Freeman,Jonathan Freeman,100.0
5258,Jonathan Gillet,Jonathan Gillett,96.7741935483871
19110,Jonathan Green,Jonathan Green,100.0
19111,Jonathan Green,Jonathan Greene,96.55172413793103
15566,Jonathan Hoge,Jonathan Hoge,100.0
19939,Jonathan Hubbard,Jonathan Hubbard,100.0
11170,Jonathan Patteson,Jonathan Patterson,97.14285714285714
5968,Jonathan Randall,Jonathan Crandall,96.96969696969697
1531,Jonathan Roberts,Jonathan Roberts,100.0
10135,Jonathan Smith,Jonathan B Smith,95.0
21209,Jonathan Smith,Jonathan Smith,100.0
10134,Jonathan Smith,Jonathn Smith,96.29629629629629
2873,Jonathan Sturges,Jonathan Sturges,100.0
36916,Joseph Badger,Joseph Badger,100.0
1664,Joseph Barker,Joseph Baker,96.0
1663,Joseph Barker,Joseph Barker,100.0
36173,Joseph Blanchard,Joseph Blanchard,100.0
29134,Joseph Brown,Joseph 1st Brown,95.0
27081,Joseph Brown,Joseph Brown,100.0
29135,Joseph Brown,Joseph J Brown,95.0
29136,Joseph Brown,Joseph T Brown,95.0
34722,Joseph Douglass,Joseph Douglas,96.55172413793103
34721,Joseph Douglass,Joseph Douglass,100.0
5701,Joseph Gilpin,Joseph Gilpin,100.0
34740,Joseph Graham,Joseph Graham,100.0
35971,Joseph Harvey,Joseph Harvey,100.0
15739,Joseph Heister,Joseph Heister,100.0
16688,Joseph Heister,Joseph Hester,96.29629629629629
3758,Joseph Hopkins,Joseph Hopkins,100.0
17442,Joseph Hosmer,Joseph Hosmer,100.0
3984,Joseph Hosmer,Joseph Osmer,96.0
40287,Joseph Hutchins,Joseph Hutchings,96.7741935483871
40286,Joseph Hutchins,Joseph Hutchins,100.0
16528,Joseph Jackson,Joseph Jackson,100.0
16529,Joseph Jackson,Joseph Jackson brookline,90.0
8631,Joseph Jones,Joseph Jones,100.0
36278,Joseph Kimball,Joseph Kimbal,96.29629629629629
38924,Joseph Kimball,Joseph Kimball,100.0
36925,Joseph Martin,Joseph Martin,100.0
36926,Joseph Martin,Joseph P Martin,95.0
3168,Joseph Mosely,Joseph Moseley,96.29629629629629
3167,Joseph Mosely,Joseph Mosely,100.0
2884,Joseph Moss White,Joseph Moss,90.0
2883,Joseph Moss White,Joseph White,95.0
20630,Joseph Palmer,Joseph Palmer,100.0
16691,Joseph Powell,Joseph Powell,100.0
15745,Joseph Powell,Joseph Prowell,96.29629629629629
6673,Joseph Richardson,Joseph Richardson,100.0
4522,Joseph Stone,Joseph Stone,100.0
16885,Joseph Wood,Joseph Wood,100.0
4519,Joshua Dunlap,Joshua Dunlap,100.0
3162,Joshua Porter,Joshua Porter,100.0
28807,Joshua Saxon,Joshua Saxton,96.0
19999,Joshua Thomas,Joshua Thomas,100.0
21740,Joshua Whitney,Joshua Whitney,100.0
36419,Josiah Bartlett,Josiah Bartlett,100.0
22404,Josiah Goddard,Josiah Goddard,100.0
19072,Josiah Smith,Josiah Smith,100.0
30808,King William,William King,95.0
3477,Ladd William,William Ladd,95.0
23228,Lemuel Collins,Lemuel Collins,100.0
4081,Lemuel Sandford,Lemuel Sanford,96.55172413793103
17745,Leonard Williams,Leonard Williams,100.0
18868,Leonard Williams,William Leonard,91.93548387096774
20626,Levi Whitman,Levi Whiteman,96.0
20625,Levi Whitman,Levi Whitman,100.0
10021,Levin Powell,Levin Powell,100.0
13927,Lewis Morris,Lewis Morris,100.0
518,Luther Martin,Luther Martin,100.0
508,Luther Martin,Martin Luther,95.0
3475,Manchester Isaac,Isaac Manchester,95.0
12234,Matthew Adgate,Matthew Adgate,100.0
2638,Matthew Patterson,Matthew Patterson,100.0
12486,Melancton Smith,Melancton Smith,100.0
8670,Meriwether Smith,Meriwether Smith,100.0
17949,Michael Farley,Michael Farley,100.0
2810,Michael Jenifer Stone,Michael Stone,85.5
8656,Miles King,Miles King,100.0
3489,Miller Nathan,Nathan Horton Miller,85.5
30584,Miller Nathan,Nathan Miller,95.0
36274,Moses Carr,Moses Carr,100.0
38593,Moses Chamberlain,Moses Chamberlain,100.0
38594,Moses Chamberlain,Moses Chamberlin,96.96969696969697
4881,Moses Cleveland,Moses Cleveland,100.0
21043,Moses Davis,Moses Davis,100.0
8158,Moses Rawlings,Moses Rawlings,100.0
20122,Nathan Cushing,Nathan Cushing,100.0
430,Nathan Hale,Nathan Hale,100.0
40270,Nathaniel Bean,Nathaniel Bean,100.0
10742,Nathaniel Burwell,Nathaniel Burwell,100.0
20656,Nathaniel Leonard,Nathaniel Leonard,100.0
16510,Nathaniel Robbins,Nathaniel Robbins,100.0
16511,Nathaniel Robbins,Nathaniel Robins,96.96969696969697
8280,Nathaniel Rogers,Nathaniel R Rogers,95.0
39309,Nathaniel Rogers,Nathaniel Rogers,100.0
24391,Nathaniel Russell,Nathaniel Russel,96.96969696969697
24390,Nathaniel Russell,Nathaniel Russell,100.0
2990,Nehemiah Beardsley,Nehemiah Beardsley,100.0
16950,Nicholas Breading,Nicholas Reading,96.96969696969697
717,Nicholas Gilman,Nicholas Gilman,100.0
718,Nicholas Gilman,Nichols Gilman,96.55172413793103
5316,Nicholas Lewis Sewall,Lewis Nichols,85.5
15576,Nicholas Lutz,Nicholas Lutz,100.0
30305,Nichols William,Nicholas Williams,93.75
30306,Nichols William,William Nicholas,91.93548387096774
28239,Nichols William,William Nicholls,91.93548387096774
30304,Nichols William,William Nichols,95.0
101,Oliver Ellsworth,Oliver Ellsworth,100.0
1857,Oliver Elsworth,Oliver Ellsworth,96.7741935483871
30587,Pearce Samuel,Samuel Pearce,95.0
33501,Peter Bennett,Peter Bennet,96.0
24622,Peter Fayssoux,Peter Fassoux,96.29629629629629
12502,Peter Lefferts,Peter Leffert,96.29629629629629
7011,Peter Lefferts,Peter Lefferts,100.0
17296,Peter Osgood,Peter Osgood,100.0
22803,Peter Smith,Peter Smith,100.0
12336,Peter Van Ness,Peter Van Ness,100.0
1339,Peter Vandevoort,Peter Vandervoort,96.96969696969697
6787,Peter Vrooman,Peter C Vrooman,95.0
6788,Peter Vrooman,Peter I Vroman,88.88888888888889
12214,Peter Vrooman,Peter Vroman,96.0
6785,Peter Vrooman,Peter Vrooman,100.0
4480,Philip Burr Bradley,Burr Bradley,90.0
4482,Philip Burr Bradley,PhilipB Bradley,88.23529411764706
13902,Philip Livingston,Philip Livingston,100.0
14948,Philip Van Cortlandt,Philip Cortlandt,95.0
7956,Philip Van Cortlandt,Philip Van Cortlandt,100.0
30053,Potter Samuel J,Samuel Potter,95.0
28250,Reynolds Joseph,Joseph Renolds,91.72413793103448
28249,Reynolds Joseph,Joseph Reynolds,95.0
30313,Reynolds Joseph,Joseph Rynolds,91.72413793103448
29973,Rice Thomas,Thomas Rice,95.0
5274,Richard Barnes,Richard Barnes,100.0
6031,Richard Barnes,Richard Barns,96.29629629629629
252,Richard Bassett,Richard Bassett,100.0
11857,Richard Cary,Richard Cary,100.0
19683,Richard F. Cutts,Richard F Cutts,96.7741935483871
22546,Richard Hutson,Richard Hutson,100.0
3618,Richard Law,Richard Law,100.0
36339,Richard Lewis,Richard Lewis,100.0
8505,Richard Manning,Richard Manning,100.0
29781,Richard Nixon,Richard Nixon,100.0
7246,Richard Potts,Richard Potts,100.0
1518,Richard Smith,Richard Smith,100.0
1519,Richard Smith,Smith Richards,91.48148148148147
7377,Richard Thomas,Richard Thomas,100.0
8188,Richard Thomas,Thomas Prichard,91.72413793103448
8189,Richard Thomas,Thomas Richards,91.72413793103448
29939,Robert Adam,Robert Adam,100.0
9339,Robert Alexander,Alexander Roberts,92.12121212121211
8393,Robert Alexander,Robert Alexander,100.0
9767,Robert Andrews,Robert Andrews,100.0
39078,Robert B. Wilkins,Robert B Wilkins,96.96969696969697
36422,Robert B. Wilkins,Robert Wilkin,86.66666666666667
39079,Robert B. Wilkins,Robert Wilkins,95.0
14502,Robert Coleman,Robert Coleman,100.0
25198,Robert Daniel,Daniel P Roberts,85.17241379310344
25193,Robert Daniel,Daniel Roberts,91.48148148148147
30619,Robert Edwards,Edward Roberts,88.21428571428571
32730,Robert Edwards,Robert Edwards,100.0
30890,Robert Ewing,Robert Ewing,100.0
986,Robert Hoops,Robert Hoops,100.0
6679,Robert Montgomery,Robert Montgomery,100.0
1203,Robert Morris,Robert Morris,100.0
959,Robert Ogden,Robert Ogden,100.0
27230,Robert Patton,Robert Patton,100.0
32710,Robert Payne,Robert Payne,100.0
34918,Robert Peebles,Robert Peebles,100.0
13058,Robert R. Livingston,Robert Livingston,95.0
7472,Robert R. Livingston,Robert R Livingston,97.43589743589743
13057,Robert R. Livingston,Robert R. Livingston,100.0
26531,Robert Rutherford,Robert Rutherford,100.0
39623,Robert Steward,Robert Steward,100.0
15562,Robert Whitehill,Robert Whitehill,100.0
11948,Robert Williams,Robert William,96.55172413793103
10906,Robert Williams,Robert Williams,100.0
10912,Robert Williams,William Robert Buchanan,85.5
10908,Robert Williams,William Roberts,88.66666666666666
2344,Robert Williams,william roberts,88.66666666666666
18280,Robert Wilson,Robert Willson,96.29629629629629
19498,Robert Wilson,Robert Wilson,100.0
18281,Robert Wilson,Robert Wilson 3rd,95.0
25439,Roger Parker Saunders,Parker Rogers,85.5
25441,Roger Parker Saunders,Roger Sanders,85.5
100,Roger Sherman,Roger Sherman,100.0
9800,Samuel  Richardson,Samuel Richardson,97.14285714285714
16258,Samuel Adams,Samuel Adams,100.0
17241,Samuel Adams,Samuel Addams,96.0
14260,Samuel Ashmead,Samuel Ashmead,100.0
21785,Samuel Baker,Samuel A Baker,95.0
9724,Samuel Baker,Samuel Backer,96.0
20131,Samuel Baker,Samuel Baker,100.0
21783,Samuel Baker,Samuel Barker,96.0
21784,Samuel Baker,Samuel Blaker,96.0
3626,Samuel Beach,Samuel Beach,100.0
251,Samuel Canfield,Samuel Canfield,100.0
4921,Samuel Carver,Samuel Carver,100.0
5520,Samuel Chapman,Samuel Chapman,100.0
7530,Samuel Chase,Samuel Chase,100.0
580,Samuel Davenport,Samuel Davenport,100.0
21502,Samuel Denny,Samuel Denny,100.0
27952,Samuel Earle,Samuel Searle,96.0
19700,Samuel Eddy,Samuel Eddy,100.0
11873,Samuel Edmison,Samuel Edmiston,96.55172413793103
6692,Samuel Evans,Samuel Evans,100.0
23007,Samuel Grant,Samuel Grant,100.0
36263,Samuel Griffin,Samuel Griffin,100.0
5298,Samuel H. Parsons,Samuel H Parsons,96.96969696969697
5299,Samuel H. Parsons,Samuel Parsons,95.0
38934,Samuel Hale,Samuel Hale,100.0
307,Samuel Hay,Samuel Hay,100.0
10335,"Samuel Hopkins, Jun.",Samuel Hopkins,95.0
3868,Samuel Huntington,Samuel Huntington,100.0
33573,Samuel Johnston,Samuel Johnson,96.55172413793103
39126,Samuel Johnston,Samuel Johnston,100.0
13400,Samuel Jones,Samuel Jones,100.0
14418,Samuel Jones,Samuel P Jones,95.0
3104,Samuel Jones,samuel jones,100.0
36374,Samuel Langdon,Samuel Landon,96.29629629629629
34649,Samuel Mason,Samuel Marson,96.0
34648,Samuel Mason,Samuel Mason,100.0
22623,Samuel Merrill,Samuel Merrill,100.0
20460,Samuel Niles,Samuel Niles,100.0
2436,Samuel Orton,Samuel Horton,96.0
2140,Samuel Orton,Samuel Morton,96.0
4731,Samuel Orton,Samuel Norton,96.0
19045,Samuel Reed,Samuel Reed,100.0
5510,Samuel Shipman,Samuel Shipman,100.0
33767,Samuel Simpson,Samuel Simpson,100.0
33768,Samuel Simpson,Samuel Simson,96.29629629629629
26203,Samuel Smith,Samuel 2d Smith,95.0
24124,Samuel Smith,Samuel Smith,100.0
30996,Samuel Spencer,Samuel Spencer,100.0
27552,Samuel Taylor,Samuel Taylor,100.0
1004,Samuel W. Stockton,Samuel Stockton,95.0
1002,Samuel W. Stockton,Samuel W Stockton,97.14285714285714
26033,Samuel Warren,Samuel Warren,100.0
27242,Samuel Watson,Samuel Watson,100.0
19502,Samuel West,Samuel West,100.0
5206,Samuel Whiting,Samuel Whiting,100.0
21736,Samuel Willard,Samuel Willard,100.0
36572,Samuel Young,Samuel Young,100.0
3427,Sands Ray,Ray Sands,95.0
3405,Sears George,George Hall  Sears,85.5
3404,Sears George,George Sears,95.0
14508,Sebastian Graff,Sebastian Graff,100.0
2784,Selah Hart,Selah Hart,100.0
492,Seth Crocker,Seth Crocker,100.0
4462,Seth Newton,Seth Newton,100.0
32878,Simeon Bright,Simon Bright,96.0
4439,Simeon Smith,Simeon Smith,100.0
4865,Simeon Smith,Simon Smith,95.65217391304348
5232,Simon Cotton,Simon Cotton,100.0
3415,Slocum Giles,Giles Slocum,95.0
37485,Solomon Green,Solomon Green,100.0
133,Solomon Maxwell,Solomon Maxwell,100.0
30200,Stanton Joseph,Joseph Stanton,95.0
30201,Stanton Joseph,Joseph Staton,91.48148148148147
4156,Stephen Billings,Stephen Billings,100.0
4157,Stephen Billings,Stephens Billings,96.96969696969697
37446,Stephen Dole,Stephen Dole,100.0
3269,Stephen Mix Mitchell,Stephen Mitchell,95.0
3442,Stephen Mix Mitchell,Stephen Mix,90.0
27572,Stephen Smith,Stephen Smith,100.0
2182,Stevens Thomson Mason,Stevens Mason,85.5
28556,Stone Peter,Peter Stone,95.0
2875,Thaddeus Burr,Thaddeus Burr,100.0
1102,Thomas  Collins,Thomas Collins,96.55172413793103
10436,Thomas Allen,Thomas Allen,100.0
975,Thomas Anderson,Thomas Anderson,100.0
10132,Thomas Arthur,Thomas Arthur,100.0
10133,Thomas Arthur,Thomas Arthurs,96.29629629629629
33174,Thomas Blount,Thomas Blount,100.0
29467,Thomas Brown,Thomas Brown,100.0
3615,Thomas Brown,Thomas Brown ,100.0
31648,Thomas Brown,Thomas Jr. Brown,95.0
31649,Thomas Brown,Thomas Sr. Brown,95.0
15379,Thomas Bull,Thomas Bull,100.0
14603,Thomas Campbell,Thomas Campbell,100.0
12317,Thomas Carter,Thomas Carter,100.0
36713,Thomas Chase,Thomas Chase,100.0
39458,Thomas Chase,Thomas Chasey,96.0
15444,Thomas Cheney,Thomas Cheney,100.0
15445,Thomas Cheney,Thomas Chesney,96.29629629629629
9645,Thomas Cooper,Thomas Cooper,100.0
7369,Thomas Cramphin,Thomas Cramphin,100.0
1198,Thomas Daniell,Daniel Thomas,91.48148148148147
20003,Thomas Davis,Thomas Davies,96.0
18719,Thomas Davis,Thomas Davis,100.0
20004,Thomas Davis,Thomas I Davis,95.0
38264,Thomas Dawes,Thomas Dawes,100.0
19366,Thomas Durfee,Thomas Durfee,100.0
12863,Thomas Edmunds,Edmund D Thomas,85.17241379310344
12862,Thomas Edmunds,Edmund Thomas,91.48148148148147
12860,Thomas Edmunds,Thomas Edmunds,100.0
1585,Thomas Evans,Thomas Evans,100.0
1064,Thomas FitzSimons; Fitzsimmons,Thomas Fitzsimmon,87.27272727272728
22552,Thomas Fuller,Thomas Fuller,100.0
1612,Thomas Gaskins,Thomas Askins,96.29629629629629
10791,Thomas Gaskins,Thomas Gaskins,100.0
5250,Thomas Goodman,Thomas Goodman,100.0
33266,Thomas H. Perkins,Thomas Perkins,95.0
12930,Thomas Hines,Thomas Haines,96.0
28866,Thomas Howell,Thomas Howell,100.0
7228,Thomas Johnson,Thomas Johnson,100.0
8034,Thomas Johnson,Thomas Johnston,96.55172413793103
34872,Thomas Johnston,Thomas Johnson,96.55172413793103
37271,Thomas Johnston,Thomas Johnston,100.0
16800,Thomas Jones,Thomas Johnes,96.0
16799,Thomas Jones,Thomas Jones,100.0
18372,Thomas Kittridge,Thomas Kitteridge,96.96969696969697
18371,Thomas Kittridge,Thomas Kittridge,100.0
1445,Thomas Lewis,Lewis Thomas,95.0
11283,Thomas Lewis,Thomas Lewis,100.0
13154,Thomas Matthews,Matthew Thomas,91.72413793103448
13151,Thomas Matthews,Thomas Mathews,96.55172413793103
13150,Thomas Matthews,Thomas Matthews,100.0
1197,Thomas Mifflin,Thomas Mifflin,100.0
17331,Thomas Mighill,Thomas Mighill,100.0
18398,Thomas Mighill,Thomas Mighills,96.55172413793103
29434,Thomas Owen,Owen Thomas,95.0
31586,Thomas Owen,Thomas Owen,100.0
30250,Thomas P. Williams,Thomas Williams,95.0
37277,Thomas Penniman,Thomas Penniman,100.0
33488,Thomas Person,Thomas Pearson,96.29629629629629
33489,Thomas Person,Thomas Pierson,96.29629629629629
9751,Thomas Pierce,Thomas Pierce,100.0
8416,Thomas Read,Thomas Read,100.0
632,Thomas Reynolds,Thomas Reynolds,100.0
114,Thomas Reynolds,Thomas reynolds deceased,90.0
22786,Thomas Rice,Thomas Rice,100.0
17444,Thomas Russel,Thomas C Russell,89.65517241379311
16477,Thomas Russel,Thomas Russel,100.0
16478,Thomas Russel,Thomas Russell,96.29629629629629
15043,Thomas Scott,Thomas Scott,100.0
8038,Thomas Sim Lee,Thomas Lee,95.0
9110,Thomas Smith,Thomas Smith,100.0
34883,Thomas Stewart,Thomas Stewart,100.0
26790,Thomas Taylor,Thomas Taylor,100.0
31007,Thomas Wade,Thomas Wade,100.0
11224,Thomas Walke,Thomas Walker,96.0
22533,Thomas Walter,Thomas Water,96.0
1910,Thomas Wastson,Thomas W Watson,89.65517241379311
1908,Thomas Wastson,Thomas Watson,96.29629629629629
29801,Thomas Williams,Thomas M Williams,95.0
29800,Thomas Williams,Thomas Williams,100.0
29803,Thomas Williams,William Thomas,91.72413793103448
31988,Thomas Williams,William Thoms,88.21428571428571
7476,Thomas Yardley,Thomas Yardley,100.0
22286,Timothy Fuller,Timothy Fuller,100.0
20186,Timothy Parker,Timothy Parker,100.0
15214,Timothy Pickering,Timothy Pickering,100.0
40268,Timothy Taylor,Timothy Taylor,100.0
17439,Timothy Winn,Timothy Winn,100.0
16840,Tristam Dalton,Tristram Dalton,96.55172413793103
7143,Volkert Veeder,Volkert S Veeder,95.0
7142,Volkert Veeder,Volkert Veeder,100.0
257,Wait Goodrich,Wait Goodrich,100.0
6274,Walter Smith,Walter Smith,100.0
5513,Walter Smith,Water Smith,95.65217391304348
3975,Wheeler Coit,Wheeler Coit,100.0
30329,Wilcox Job,Job Wilcox,95.0
30330,Wilcox Job,Job Willcox,90.47619047619048
16702,William  Findley,William Findley,96.7741935483871
16703,William  Findley,William Finley,93.33333333333333
5775,William  Gold,William Gold,96.0
36390,William Abbott,William Abbot,96.29629629629629
36389,William Abbott,William Abbott,100.0
32107,William B. Grove,William Groves,86.66666666666667
16268,William Bailey ,Willam Bailey,96.29629629629629
33889,William Bailey ,William Bailey,100.0
33890,William Bailey ,William Baily,96.29629629629629
7274,William Baylies,William Bayles,96.55172413793103
20766,William Baylies,William Baylis,96.55172413793103
16019,William Brown,William Brown,100.0
16020,William Brown,William Browne,96.29629629629629
17021,William Brown,William Sh Brown,95.0
17042,William Brown,William Shepard Brown,85.5
17022,William Brown,William Sheph Brown,95.0
3590,William Brown,william brown foggo,95.0
25685,William Butler,William Butler,100.0
27729,William Butler,William Buttler,96.55172413793103
842,William C. Houston,William C. Huston,97.14285714285714
189,William C. Houston,William Houston,95.0
816,William C. Houston,William Huston,87.5
3965,William Cabell,William Cambell,96.55172413793103
10585,William Clayton,William Clayton,100.0
606,William Crawford ,William Crawford,100.0
18837,William Cushing,William Cushing,100.0
7388,"William Deakins, Jun.",William Deakins,95.0
33163,William Dobbin,William Dobbins,96.55172413793103
29705,William Dunbar,William Dunbar,100.0
31788,William E. Erwin,William Erwin,95.0
31789,William E. Erwin,William Erwine,86.66666666666667
31358,William E. Lord,William Lord,95.0
3518,William Elliot,William Elliot,100.0
26016,William Elliot,William Elliott,96.55172413793103
28228,William Fitzpatrick,William Fitzpatrick,100.0
9142,William Fleming,William Fleming,100.0
16818,William Gray Jun.,William Gray,95.0
34432,William Hackney,William Hackney,100.0
1305,William Hall,William Hall,100.0
12672,William Harper,William Harper,100.0
1716,William Hart,William D Hart,95.0
4839,William Hart,William Hart,100.0
7489,William Harwood,William Harwood,100.0
37707,William Hayes,William Hayes,100.0
37708,William Hayes,William Haynes,96.29629629629629
16487,William Heath,M.G William Heath,95.0
17459,William Heath,William (M.G) Heath,95.0
16486,William Heath,William Heath,100.0
1699,William Heron,William Herron,96.29629629629629
27175,William Hill,William Hill,100.0
5105,William Houston,William Houston,100.0
37461,William Houston,William Huston,96.55172413793103
103,William Houstoun,William Houston,96.7741935483871
37322,William Hunt,William Hunt,100.0
21842,William Johnson,William Johnson,100.0
21844,William Johnson,William Johnston,96.7741935483871
21843,William Johnson,Williams Johnson,96.7741935483871
32522,William Johnston,William Johnson,96.7741935483871
32521,William Johnston,William Johnston,100.0
34759,William Johnston,William Johnstone,96.96969696969697
34760,William Johnston,William Johnstons,96.96969696969697
34762,William Johnston,William Sr. Johnston,95.0
32523,William Johnston,Williams Johnson,93.75
29088,William Johnston Dawson,William Johnston,95.0
22991,William Jones,William 1st Jones,95.0
22992,William Jones,William 2nd Jones,95.0
21007,William Jones,William Johnes,96.29629629629629
21006,William Jones,William Jones,100.0
2981,William Judd,William Judd,100.0
26752,William Kennedy,William Kennedy,100.0
2622,William Kennedy,William Mc Kenney,87.5
36956,William King,William King,100.0
388,William L. Pierce,William Pierce,95.0
719,William Livingston,William Livingston,100.0
17516,William M'Intosh,William M'Intosh,100.0
34665,William Martin,William Martain,96.55172413793103
32427,William Martin,William Martin,100.0
9291,William Mason,William Malson,96.29629629629629
10273,William Mason,William Mason,100.0
9292,William Mason,William Matson,96.29629629629629
21299,William Mayhew,William Mahew,96.29629629629629
21298,William Mayhew,William Mayhew,100.0
11262,William McKee,William McKee,100.0
1727,William McKee,William Mckee,100.0
26797,William Meyer,William Meyers,96.29629629629629
29164,William Miles,William Miles,100.0
1285,William Moore,William Moore,100.0
7107,William Morris,William Moris,96.29629629629629
7106,William Morris,William Morris,100.0
24617,William Moultrie,William Moultrice,96.96969696969697
24618,William Moultrie,William Sr. Moultrie,95.0
35652,William N. Hill,William Hill,95.0
16542,William Nash,William Nash,100.0
3902,William Noyes,William Noyes,100.0
6521,William Paca,William Paca,100.0
37048,William Page,William Page,100.0
821,William Paterson,William Palterson,96.96969696969697
791,William Paterson,William Paterson,100.0
822,William Paterson,William Patterson,96.96969696969697
1875,William Patterson,William Paterson,96.96969696969697
1868,William Patterson,William Patterson,100.0
11245,William Peachy,William Peachy,100.0
16277,William Phillips,Wiliam Phillips,96.7741935483871
16278,William Phillips,William Philips,96.7741935483871
16276,William Phillips,William Phillips,100.0
8637,William Pinkney,William Pinkney,100.0
33941,William Porter,William Porter,100.0
1171,William R. Davie,William Davies,86.66666666666667
22446,William Read,William Read,100.0
24180,William Reed,William Reed,100.0
6573,William Richardson,William Richardson,100.0
35552,William Richardson Davie,William Richardson,95.0
33926,William Robinson,William Robinson,100.0
27604,William Robison,William Robinson,96.7741935483871
32973,William S. Marnes,William S,90.0
2,William Samuel Johnson,Samuel Johnson,90.0
0,William Samuel Johnson,William Johnson,95.0
22571,William Scott,Wiliam Scott,96.0
22570,William Scott,William Scott,100.0
18852,William Shaw,William Shaw,100.0
36406,William Simpson,William Simpson,100.0
36408,William Simpson,William Simson,96.55172413793103
36407,William Simpson,William Stimpson,96.7741935483871
24892,William Smith,William 2d Smith,95.0
22836,William Smith,William D Smith,95.0
10930,William Smith,William Hooker Smith,85.5
24893,William Smith,William J Smith,95.0
8396,William Smith,William L Smith,95.0
8397,William Smith,William Lovett Smith,85.5
22837,William Smith,William O. Smith,95.0
22835,William Smith,William P Smith,95.0
