,Search Names,Search Name,# debtholders,Original Names,count,6p_Total,6p_def_Total,3p_Total,Location,Family Size,Slavecount,Match Status,Match Reason,notes,url
569,['Josiah Blakely'],Josiah Blakely,1,['Josiah Blakeley'],2,0.0,0.0,2536.0,"New York City East Ward, New York, New York",2.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Josiah_Blakeley&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
810,Thomas Tillston,Thomas Tillston,1,"['Thomas Tillston', 'Thomas Tillison']",1,1040.0,520.0,2531.0,,,,No Match,No Match Found,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Tillston&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
86,['Benjn Winthrop'],Benjn Winthrop,1,['Benjamin Winthrop'],2,0.0,0.0,2524.0,"Rensselaerwick, Albany, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Benjamin_Winthrop&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
564,['Joseph Winter'],Joseph Winter,1,['Joseph Winter'],4,0.0,0.0,2517.0,,,,No Match,Too Many Potential Matches Found (2),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Winter&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
286,['Henry Remsen'],Henry Remsen,1,['Henry Remsen'],1,0.0,0.0,2505.0,"New York City East Ward, New York, New York",15.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry_Remsen&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
472,['John Jacob Astor'],John Jacob Astor,1,['John Jacob Astor'],5,0.0,0.0,2504.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John Jacob_Astor&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
511,['John Rogers'],John Rogers,1,['John Rogers'],1,0.0,0.0,2500.0,,,,No Match,Too Many Potential Matches Found (13),,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Rogers&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
297,['Horatio Gates'],Horatio Gates,1,['Horatio Gates'],1,8167.0,4133.0,2491.0,"New York City Out Ward, New York, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Horatio_Gates&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
444,['John Davenport'],John Davenport,1,['John and James Davenport'],6,0.0,0.0,2467.0,,,,No Match,Too Many Potential Matches Found (4),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Davenport&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
322,['J Waldo'],J Waldo,1,['J Waldo and Co'],1,0.0,0.0,2463.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=J_Waldo&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
713,['Robert Rhead'],Robert Rhead,1,['Robert Reede'],1,0.0,0.0,2456.0,"Yonkers, Westchester, New York",11.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Reede&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
639,['Nicholas Fisher'],Nicholas Fisher,1,['Nicholas Fisher'],2,0.0,0.0,2452.0,,,,No Match,Too Many Potential Matches Found (3),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Fisher&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
507,['John Rathbone'],John Rathbone,1,"['John Rathbone', 'John Rathbun']",6,0.0,0.0,2445.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Rathbone&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
808,['Thomas Smith'],Thomas Smith,1,['Thomas Smith'],2,0.0,0.0,2439.0,,,,No Match,Too Many Potential Matches Found (37),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Smith&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
473,['John Jacob Beekman'],John Jacob Beekman,1,['John Jacob Beekman'],1,2885.0,1491.0,2391.0,,,,No Match,Too Many Potential Matches Found (6),,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John Jacob_Beekman&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
323,"['Jacob Reed', 'Jabcob Reed']",Jabcob Reed,2,"['Jacob Reed', 'Jabcob Reed']",1,8751.0,4426.0,2371.0,,,,No Match,No Match Found,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jabcob_Reed&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
210,['Ephraim Hart'],Ephraim Hart,1,['Ephraim Hart and Co'],12,0.0,0.0,2323.0,"New York City South Ward, New York, New York",7.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ephraim_Hart&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
495,"['John N Bleeker', 'John N Bleecher']",John N Bleeker,2,"['John N Bleecher', 'John N Blecker']",1,4310.0,2159.0,2315.0,"Albany Ward 2, Albany, New York",11.0,,Match,Full Match,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John N_Blecker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
661,['Peter Gansevoort'],Peter Gansevoort,1,"['Peter Gansevoort', 'Peter Gansevert']",4,3154.0,1578.0,2308.0,"Albany Ward 3, Albany, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Gansevoort&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
317,['Israel Canfield'],Israel Canfield,1,"['Israel Canfield', 'Isreal Canfield']",2,0.0,0.0,2297.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Israel_Canfield&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
325,['Jacamiah Smith'],Jacamiah Smith,1,['Jacamiah Smith'],1,5670.0,2837.0,2292.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacamiah_Smith&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
843,['William Constable'],William Constable,1,['William Constable'],2,514.0,257.0,2280.0,,,,No Match,Too Many Potential Matches Found (2),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Constable&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
51,['Ann Simonton'],Ann Simonton,1,['Ann Simonton'],1,0.0,0.0,2279.0,,,,No Match,Too Many Potential Matches Found (2),,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ann_Simonton&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
455,['John Fisher'],John Fisher,1,['John Fisher'],2,0.0,0.0,2253.0,,,,No Match,Too Many Potential Matches Found (9),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Fisher&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
825,['W Richardson'],W Richardson,1,['W Richardson and Co'],1,0.0,0.0,2251.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=W_Richardson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
347,"['James Atkinson', 'John Atkenson']",John Atkenson,2,"['James Atkinson', 'John Atkinson', 'John and Francis Atkinson']",1,2200.0,1101.0,2249.0,"New York City East Ward, New York, New York",13.0,,Match,Full Match,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
441,['John Cummings'],John Cummings,1,['John Noble Cummings'],4,0.0,0.0,2220.0,"Watervliet, Albany, New York",4.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John Noble_Cummings&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
96,['Caleb Parker'],Caleb Parker,1,['Caleb Parkhurst'],1,0.0,0.0,2206.0,"Hoosick, Albany, New York",2.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Caleb_Parkhurst&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
595,['Mary Van Schaick'],Mary Van Schaick,1,['Mary Van Schaick'],2,4277.0,2238.0,2138.0, Albany,,,Match,Only Location Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mary Van_Schaick&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
622,['Michael Price'],Michael Price,1,['Michael Price'],2,0.0,0.0,2127.0, New York,,,Match,Only Location Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael_Price&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
157,['David Dixon'],David Dixon,1,['David Dickson'],2,0.0,0.0,2125.0,"Cambridge, Albany, New York",10.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Dickson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
663,['Peter I Cortenius'],Peter I Cortenius,1,['Peter F Curtenius'],5,0.0,0.0,2064.0,"New York City East Ward, New York, New York",10.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Curtenius&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
660,['Peter Corne'],Peter Corne,1,['Peter Corne'],2,0.0,0.0,2061.0,,,,No Match,Too Many Potential Matches Found (2),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Corne&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
596,['Marinus Willet'],Marinus Willet,1,['Marinus Willett'],2,3343.0,1671.0,2029.0,"New York City East Ward, New York, New York",5.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Marinus_Willett&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
482,"['John Lawrence', 'John Laurence']",John Laurence,2,"['John Lawrence', 'John Laurence']",1,1364.0,684.0,2026.0,,,,No Match,Too Many Potential Matches Found (14),See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Laurence&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
71,['Barant Ten Eyck'],Barant Ten Eyck,1,['Barant Ten Eyck'],1,0.0,0.0,2025.0,,,,No Match,Too Many Potential Matches Found (6),,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Barant Ten_Eyck&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
154,['Daniel Wadsworth'],Daniel Wadsworth,1,['Daniel Wadsworth'],1,0.0,0.0,2022.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Wadsworth&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
796,['Thomas Leaming'],Thomas Leaming,1,['Thomas Leaming'],1,0.0,0.0,2000.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Leaming&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
324,['Jabez Campfield'],Jabez Campfield,1,['Jabez Campfield'],2,2971.0,1537.0,1990.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jabez_Campfield&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
387,['James Rivington'],James Rivington,1,['James Rivington'],5,0.0,0.0,1980.0,"New York City East Ward, New York, New York",16.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Rivington&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
118,['Charles Richards'],Charles Richards,1,['Charles J Richardson'],1,0.0,0.0,1948.0,"Cambridge, Albany, New York",4.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles J_Richardson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
411,['John Atkenson'],John Atkenson,1,['John and Francis Atkinson'],2,0.0,0.0,1947.0,"New York City East Ward, New York, New York",13.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
582,Lucas Van Neghten,Lucas Van Neghten,1,"['Lucas Van Neghten', 'Lucas VanNeghten']",1,3590.0,1795.0,1930.0,,,,No Match,No Match Found,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Lucas Van_Neghten&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
658,['Peter Anspack'],Peter Anspack,1,['Peter Anspach'],9,0.0,0.0,1916.0,"New York City East Ward, New York, New York",9.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Anspach&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
156,['David Collins'],David Collins,1,['David Collins'],5,0.0,0.0,1914.0,"Amenia, Dutchess, New York",7.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Collins&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
640,Nicholas Huffman,Nicholas Huffman,1,"['Nicholas Huffman and Son', 'Nicholas Hoffman and Sons']",1,4833.0,2416.0,1887.0,,,,No Match,Too Many Potential Matches Found (5),See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Huffman&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
349,['James Bloodgood'],James Bloodgood,1,['James Bloodgood'],2,0.0,0.0,1866.0,"Albany Ward 3, Albany, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Bloodgood&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
266,['Gilbert Saltonstall'],Gilbert Saltonstall,1,['Gilbert Saltonstall'],3,1623.0,812.0,1861.0,"New York City Montgomery Ward, New York, New York",12.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gilbert_Saltonstall&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
502,"['John Pintard', 'Leonard Bleecker']",Leonard Bleecker,2,"['Pintard and Bleecker', 'Leonard Bleecker']",3,0.0,0.0,1855.0,"New York City Dock Ward, New York, New York",8.0,,Match,Full Match,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Leonard_Bleecker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
196,['Elijah Austin'],Elijah Austin,1,"['Elijah Austin', 'Elijah Auston']",5,0.0,0.0,1845.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elijah_Austin&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
371,['James Hill'],James Hill,1,['James Hill'],6,344.0,172.0,1840.0,,,,No Match,Too Many Potential Matches Found (5),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Hill&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
341,['Jacobus Lefferts'],Jacobus Lefferts,1,['Jacobus Lefferts'],1,3454.0,1728.0,1817.0,"New York City North Ward, New York, New York",12.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacobus_Lefferts&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
127,['Christopher Leffingwell'],Christopher Leffingwell,1,['Christopher Leffingwell'],1,0.0,0.0,1817.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Christopher_Leffingwell&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
67,['Asher Hart'],Asher Hart,1,['Asher Hart'],3,0.0,0.0,1815.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Asher_Hart&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
546,['Jonathan Edwards'],Jonathan Edwards,1,['Jonathan Edwards'],1,0.0,0.0,1811.0,"Brook Haven, Suffolk, New York",7.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Edwards&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
434,['John Collin'],John Collin,1,['John Collin'],2,0.0,0.0,1800.0,,,,No Match,Too Many Potential Matches Found (7),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Collin&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
532,['John Walts'],John Walts,1,['Jan Mattys and Co'],1,0.0,0.0,1800.0,"Watervliet, Albany, New York",5.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jan_Mattys&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
397,['Jefry Judan'],Jefry Judan,1,['Jefry Judan and Co'],1,0.0,0.0,1785.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jefry_Judan&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
328,['Jacob C Ten Eyck'],Jacob C Ten Eyck,1,['Jacob C Ten Eyck'],1,0.0,0.0,1782.0,,,,No Match,Too Many Potential Matches Found (8),,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob C Ten_Eyck&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
225,['Frederick Jay'],Frederick Jay,1,['Fredrick Jay'],1,0.0,0.0,1779.0,"New York City East Ward, New York, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Fredrick_Jay&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
641,['Nicholas Hoffman'],Nicholas Hoffman,1,"['Nicholas Huffman and Son', 'Nicholas Hoffman and Sons']",2,0.0,0.0,1778.0,,,,No Match,Too Many Potential Matches Found (5),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Hoffman&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
451,['John Dewint'],John Dewint,1,['John Dewint'],1,0.0,0.0,1772.0,"New York City East Ward, New York, New York",7.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Dewint&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
584,['Lydia Watkins'],Lydia Watkins,1,['Lydia Watkins'],2,3345.0,1722.0,1765.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Lydia_Watkins&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
197,['Elijah Hunter'],Elijah Hunter,1,['Elijah Hunter'],1,0.0,0.0,1764.0,"Mount Pleasant, Westchester, New York",15.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elijah_Hunter&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
445,['John De la Mater'],John De la Mater,1,"['James Hill', 'John De la Mater']",3,1952.0,978.0,1759.0,,,,No Match,Too Many Potential Matches Found (12),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John De la_Mater&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
372,['James Hughes'],James Hughes,1,['James Miles Hughes'],1,0.0,0.0,1755.0,"New York City North Ward, New York, New York",7.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James Miles_Hughes&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
496,['John Nicholl'],John Nicholl,1,['John Nicholl'],1,0.0,0.0,1718.0,,,,No Match,Too Many Potential Matches Found (15),,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Nicholl&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
70,['B Pomeroy'],B Pomeroy,1,['B Pomeroy'],1,0.0,0.0,1689.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=B_Pomeroy&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
344,['Jacobus V'],Jacobus V,1,['James Van Haesen'],1,0.0,0.0,1685.0,"Rensselaerwick, Albany, New York",7.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James Van_Haesen&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
720,['Rufus King'],Rufus King,1,['Rufus King'],2,0.0,0.0,1680.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Rufus_King&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
560,['Joseph Pannill'],Joseph Pannill,1,['Joseph Pannill'],1,0.0,0.0,1680.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Pannill&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
847,['William Few'],William Few,1,['William Few'],1,0.0,0.0,1671.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Few&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
493,['John Mumford'],John Mumford,1,['John P Mumford'],4,0.0,0.0,1670.0,"New York City Montgomery Ward, New York, New York",7.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John P_Mumford&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
235,['Gary Richards'],Gary Richards,1,"['Gary Richards', 'Guy Richards']",4,0.0,0.0,1669.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gary_Richards&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
87,['Bernard Hart'],Bernard Hart,1,['Bernard Hart and Co'],3,0.0,0.0,1664.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Bernard_Hart&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
446,"['William W Morris', 'John Delafield']",John Delafield,2,"['William W Morris', 'John Delafield']",1,33075.0,15419.0,1662.0,"New York City East Ward, New York, New York",13.0,,Match,Full Match,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Delafield&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
206,['Elsey Evenson'],Elsey Evenson,1,"['Elsey Evenson', 'Elsey Everson']",2,1951.0,1025.0,1649.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elsey_Evenson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
181,['Ebenezer Storer'],Ebenezer Storer,1,['Ebenezer Storer'],1,4704.0,2402.0,1644.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ebenezer_Storer&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
536,['John Wint'],John Wint,1,['John de Wint'],1,0.0,0.0,1643.0,"Orange, Orange, New York",16.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John de_Wint&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
130,['Coll McGregor'],Coll McGregor,1,['Coll McGregor'],5,0.0,0.0,1637.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Coll_McGregor&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
675,['Philemon Elmer'],Philemon Elmer,1,['Philemon Elmer'],1,0.0,0.0,1623.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Philemon_Elmer&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
231,['Garrit Lansing'],Garrit Lansing,1,['Garrit Lansing'],1,2866.0,1433.0,1615.0, Albany,,,Match,Only Location Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Garrit_Lansing&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
802,['Thomas Nixon'],Thomas Nixon,1,['Thomas Nixon'],2,0.0,0.0,1604.0,"New York City East Ward, New York, New York",5.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Nixon&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
489,['John Mercer'],John Mercer,1,['John D Mercier'],4,0.0,0.0,1601.0,"Amenia, Dutchess, New York",5.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John D_Mercier&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
452,['John Dill'],John Dill,1,['John Dill'],4,0.0,0.0,1599.0, Ulster,,,Match,Only Location Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Dill&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
598,['Marte Beeckman'],Marte Beeckman,1,['Marte Beeckman'],1,0.0,0.0,1589.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Marte_Beeckman&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
362,['James Duncan'],James Duncan,1,['James Duncan'],1,0.0,0.0,1583.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Duncan&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
702,['Robert C Johnston'],Robert C Johnston,1,['Robert C Johnston'],1,0.0,0.0,1578.0,,,,No Match,Too Many Potential Matches Found (3),,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert C_Johnston&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
807,['Thomas Service'],Thomas Service,1,['Thomas Service'],1,4508.0,2256.0,1576.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Service&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
163,['David Laurence'],David Laurence,1,['David Laurence'],2,0.0,0.0,1558.0,,,,No Match,Too Many Potential Matches Found (5),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Laurence&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
