,Search Names,Location,Search Name,Original Names,Original Occupations,# debtholders,count,6p_Total,6p_def_Total,3p_Total,Family Size,Slavecount,Match Status,Match Reason,url,origin
46,"['Theodorius Fowler', 'Theodosius Fowler In Co']",New York,Theodosius Fowler In Co,"[[['Theodosius Fowler in Co', 'Theodosius Fowler and Co']], [['Theodosius Fowler in Co', 'Theodosius Fowler and Co']]]",['Merchants'],2,1,1955.0,1026.0,537.0,,,No Match,Too Many Potential Matches Found (9),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Theodosius+Fowler+In_Co&name_x=ps_ps&residence=_new+york-usa_35&residence_x=1-0_1-0,Aggregated CD debt files
47,"['Gasaway Watkins', 'William Marbury']","Annapolis, Anne Arundel, Maryland",William Marbury,"[[['Gassaway Watkins', 'Gassway Watkins'], ['Gassaway Watkins', 'Gassway Watkins'], ['Gassaway Watkins', 'Tristiam Bowdle', 'Tristram Bowdle']], [['William Marbury'], ['Gassaway Watkins', 'William Marbury', 'Gassway Watkins']]]",[],2,1,1915.0,65.0,61.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Marbury&name_x=ps_ps&residence=_annapolis-anne+arundel-maryland-usa_6128&residence_x=1-0_1-1,Aggregated CD debt files
48,"['Phillip Brown', 'Dr William Handy']",Rhode Island,Dr William Handy,"[[['Dr William Handy in trust for his Nephew William Handy Transferred from the Books at New York', 'Philip N Brown Transferred from the Office in Providence', 'Philip N Brown transferred from the office in Pensylvania'], ['No 10314 in Favor Reverend James Manning Register of Treasury', 'Stephen Davis Administrator No 11761', 'Philip N Brown transferred from the office in Pennsylvania']], [['Dr William Handy in trust for his Nephew William Handy Transferred from the Books at New York', 'Philip N Brown Transferred from the Office in Providence', 'Philip N Brown transferred from the office in Pensylvania']]]",[],2,1,1873.0,147.0,338.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Dr+William_Handy&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
49,"['James Frland', 'James Mcfarlane']","Westmoreland, Pennsylvania",James Mcfarlane,"[[['James Mc Farlane', 'James McFarlane']], [['James Mc Farlane', 'James McFarlane']]]",[],2,1,1830.0,915.0,547.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Mcfarlane&name_x=ps_ps&residence=_westmoreland-pennsylvania-usa_3123&residence_x=1-0_1-0,Aggregated CD debt files
50,"['Mordica & Co.  Lewis', 'Mordceai Lewis']","Philadelphia, Philadelphia, Pennsylvania",Mordceai Lewis,"[[['Mordecai Lewis', 'Mordeai Lewis'], ['Mordecai Lewis'], ['Morecai Lewis', 'Mordecai Lewis'], ['Mordecai Lewis', 'Mordceai Lewis']], [['Mordecai Lewis', 'Mordceai Lewis']]]","['Merchant', 'Mert']",2,1,1783.0,942.0,513.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mordceai_Lewis&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
51,"['Peter Pare', 'Peter Pores']","Philadelphia, Philadelphia, Pennsylvania",Peter Pores,"[[['Peter Peres', 'Peter Pores']], [['Peter Peres', 'Peter Pores']]]",['Physician'],2,1,1770.0,935.0,540.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Pores&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
52,"['Remond Byrne', 'Redmond  Byrns']","Philadelphia, Philadelphia, Pennsylvania",Remond Byrne,"[[['Redmond Byrne', 'Remond Byrne']], [['Redmond Byrne', 'Remond Byrne']]]","['Merchant', 'Grocer']",2,1,1751.0,925.0,924.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Remond_Byrne&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
53,"['Andr Summers', 'andrew Summeres']", Philadelphia,andrew Summeres,"[[['Andrew Summers'], ['Andrew Summer', 'Andrew Summers'], ['Andrew Summer', 'Andrew Summers'], ['Andrew Summeres', 'Andrew Summers']], [['Andrew Summeres', 'Andrew Summers']]]",['Broker'],2,1,1727.0,913.0,1330.0,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=andrew_Summeres&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
54,"['Arnoldus Vanderhorst', 'Henry Laurens']",South Carolina,Henry Laurens,"[[['Henry Laurens and Arnoldus Vanderhorst']], [['Henry Laurens'], ['Henry Laurens and Arnoldus Vanderhorst']]]",['Executor of John Paul Grimke'],2,1,1643.0,821.0,1880.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry_Laurens&name_x=ps_ps&residence=_south+carolina-usa_43&residence_x=1-0_1-0,Aggregated CD debt files
55,"['Enoch Edwards', 'Enoch Enoch']","Byberry, Philadelphia, Pennsylvania",Enoch Enoch,"[[['Enoch Edwards', 'Enoch Edward']], [['Enoch Edwards', 'Enoch Edward']]]",[],2,1,1642.0,870.0,994.0,11,3.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Enoch_Edward&name_x=s_s&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
56,"['Thomas  Mitflin', 'David Lenox', 'Lawce Kuhns', 'Charles Smith', 'Colonel Coln Francis  Johnston']","Branswick and Manheim, Berks, Pennsylvania",Lawce Kuhns,"[[['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene'], ['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']]]","['Executer to Lawrence Keane Deceased', 'Governor of the State', 'Colonel', 'Receiver Gen. of Land Office']",5,1,1618.0,809.0,521.0,3,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Lawrence_Keene&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
57,"['Thomas  Mitflin', 'David Lenox', 'Lawce Kuhns', 'Charles Smith', 'Colonel Coln Francis  Johnston']",Pennsylvania,Charles Smith,"[[['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene'], ['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']]]","['Executer to Lawrence Keane Deceased', 'Governor of the State', 'Colonel', 'Receiver Gen. of Land Office']",5,1,1618.0,809.0,521.0,,,No Match,Too Many Potential Matches Found (8),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Smith&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
58,"['John Miler', 'John Miller']","Philadelphia, Philadelphia, Pennsylvania",John Miller,"[[['John Miler', 'John Miller']], [['John Miler', 'John Miller']]]",[],2,2,1600.0,800.0,108.0,,,No Match,Too Many Potential Matches Found (17),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Miller&name_x=1_1&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
59,"['David Plunkett', 'David Stewart']",Maryland,David Plunkett,"[[['Stewart Plunkett', 'Stewart E Plunkett', 'Stewart and Plunkett']], [['Stewart Plunkett', 'Stewart E Plunkett', 'Stewart and Plunkett']]]",[],2,1,1577.0,789.0,1668.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Plunkett&name_x=ps_ps&residence=_maryland-usa_23&residence_x=1-0_1-0,Aggregated CD debt files
60,"['William Shiphen', 'William Shippen']","Philadelphia, Philadelphia, Pennsylvania",William Shiphen,"[[['William Shippen', 'William Shiphen']], [['William Shippen', 'William Shiphen']]]",[],2,1,1518.0,759.0,1019.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Shiphen&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
61,"['Moses Brown', 'Nicholas Brown']","Providence, Providence, Rhode Island",Nicholas Brown,"[[['Moses Brown'], ['Moses and Nicholas Brown']], [['Nicholas Brown'], ['Moses and Nicholas Brown']]]",['Extors to the Late Nicholas Brown Esq Deceased'],3,2,1487.0,8192.0,33510.0,13,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Brown&name_x=1_1&residence=_providence-providence-rhode island-usa_5531&residence_x=1-0_1-0,Aggregated CD debt files
62,"['Standish Forde', 'John Vanread']","Philadelphia, Philadelphia, Pennsylvania",Standish Forde,"[[['Standish Forrie', 'Standish Forde'], ['Reed and Forde'], ['Standish Forde'], ['Reed and Forde', 'Reede and Ford']], [['Reed and Forde'], ['Reed and Forde', 'Reede and Ford']]]","['Merchants', 'Merchant']",2,2,1485.0,793.0,445.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Standish_Forde&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
63,"['Stephen Van Rensselaer', 'Stephen Van Rensealear']",,Stephen Van Rensealear,"['Stephen Van Renselear', 'Stephen Van Rensealear']",,2,1,1424.0,714.0,784.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Stephen Van_Rensealear&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
64,"['John Lawrence', 'John Laurence']",,John Lawrence,"['John Lawrence', 'John Laurence']",,2,1,1364.0,684.0,2026.0,,,No Match,Too Many Potential Matches Found (13),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Lawrence&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
65,"['William Elliott', 'William Elliot']",Pennsylvania,William Elliot,"[[['William Elliot', 'William Elliott']], [['William Elliot', 'William Elliott']]]",[],2,1,1360.0,730.0,1215.0,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Elliot&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
66,"['Lawrence Hertbert', 'Lawrence Herbert']","Philadelphia, Philadelphia, Pennsylvania",Lawrence Hertbert,"[[['Lawrence Herbert', 'Lawrence Hertbert'], ['Lawrence Herbert', 'Lawrance Herbert', 'Lawrence Hertbert']], [['Lawrence Herbert', 'Lawrence Hertbert'], ['Lawrence Herbert', 'Lawrance Herbert', 'Lawrence Hertbert'], ['Lawrence Herbert', 'Lawrance Herbert', 'Lawrence Hertbert']]]",[],2,3,1347.0,722.0,932.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Lawrence_Hertbert&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
67,"['John  Harper', 'John Harner']","Philadelphia, Philadelphia, Pennsylvania",John Harner,"[[['John Harper', 'John Harner']], [['John Harper', 'John Harner']]]","['Merchant', 'Bl. Smith']",2,1,1341.0,720.0,399.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Harner&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
68,"['Ann Gitson', 'Ann  Gibson']","Philadelphia, Philadelphia, Pennsylvania",Ann Gitson,"[[['Ann Gibson', 'Ann Gitson']], [['Ann Gibson', 'Ann Gitson']]]",['Gent. w.'],2,1,1331.0,665.0,936.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ann_Gitson&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
69,"['Daniel Bordman', 'Elijah Boardman']","New Milford, Litchfield, Connecticut",Elijah Boardman,"[[['Daniel and Elijah Boardman'], ['Daniel and Elijah Boardman', 'Dan and Elijah Boardman'], ['Daniel and Elijah Boradman', 'Daniel and Elijah Boardman', 'Dan and Elijah Boardman'], ['Dan and E Boardman', 'Daniel and Elijah Boardman']], [['Daniel and Elijah Boardman'], ['Daniel and Elijah Boardman', 'Dan and Elijah Boardman'], ['Daniel and Elijah Boradman', 'Daniel and Elijah Boardman', 'Dan and Elijah Boardman'], ['Dan and E Boardman', 'Daniel and Elijah Boardman']]]",['Traders'],3,6,1312.0,903.0,787.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elijah_Boardman&name_x=ps_ps&residence=_new+milford-litchfield-connecticut-usa_3273&residence_x=1-0_1-1,Aggregated CD debt files
70,"['James J Beckman', 'James J Buchman']",,James J Beckman,"['James J Beckman', 'James J Buchman']",,2,1,1310.0,655.0,541.0,,,No Match,Too Many Potential Matches Found (4),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James J_Beckman&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
71,"['William Wheaton', 'Brown Benson Ives', 'Henry Sherbourne']","Newport, Newport, Rhode Island",Henry Sherbourne,"[[['William Wheater', 'William Wheaten']], [['Henry Sherburne transferred from the Register of the Treasury', 'William Wheaten Transferred from the Books of the Register of the Treasury by Warrant No 10099', 'Brown Benson and Ives transferred from the books in Massachusetts']], [['Henry Sherburne Transferred from the Register of the Treasury', 'Joseph A Richards transfer from Register', 'Samuel Vernon transfer from register'], ['Henry Sherburne transferred from the Register of the Treasury', 'William Wheaten Transferred from the Books of the Register of the Treasury by Warrant No 10099', 'Brown Benson and Ives transferred from the books in Massachusetts'], ['Henry Sherburne transfer from the register of the treasury', 'Christopher Hill transferred from the Register of the Treasury', 'Sarah Ward Transferred from the Register']]]",[],3,1,1301.0,148.0,92.0,6,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry_Sherburne&name_x=s_s&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
72,"['William Wheaton', 'Brown Benson Ives', 'Henry Sherbourne']",Rhode Island,Brown Benson Ives,"[[['William Wheater', 'William Wheaten']], [['Henry Sherburne transferred from the Register of the Treasury', 'William Wheaten Transferred from the Books of the Register of the Treasury by Warrant No 10099', 'Brown Benson and Ives transferred from the books in Massachusetts']], [['Henry Sherburne Transferred from the Register of the Treasury', 'Joseph A Richards transfer from Register', 'Samuel Vernon transfer from register'], ['Henry Sherburne transferred from the Register of the Treasury', 'William Wheaten Transferred from the Books of the Register of the Treasury by Warrant No 10099', 'Brown Benson and Ives transferred from the books in Massachusetts'], ['Henry Sherburne transfer from the register of the treasury', 'Christopher Hill transferred from the Register of the Treasury', 'Sarah Ward Transferred from the Register']]]",[],3,1,1301.0,148.0,92.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Brown+Benson_Ives&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
73,"['Brown Brown', 'Freeborn Brown']","Harford, Maryland",Freeborn Brown,"[[['Freebron Brown', 'Freeborn Brown']], [['Freebron Brown', 'Freeborn Brown']]]",[],2,2,1298.0,699.0,973.0,20,7.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Freeborn_Brown&name_x=1_1&residence=_Maryland-usa_23&residence_x=1-0_1-0,Aggregated CD debt files
74,"['William I Johnston', 'Horace Johnson', 'Nicholas Low']",New York,Horace Johnson,"[[['Nicholas Low and Horace and S Johnson']], [['Nicholas Low and Horace and S Johnson']], [['Nicholas Low and Horace and S Johnson']]]",['Merchants'],3,2,1258.0,728.0,1114.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Horace_Johnson&name_x=ps_ps&residence=_New+York&residence_x=1-0_1-0,Aggregated CD debt files
75,"['P Dennis', 'Patrick Dennis']",,P Dennis,"['P Dennis', 'Patric Dennis', 'Patrick Dennis']",,2,1,1231.0,616.0,1399.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=P_Dennis&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
76,"['Samuel Vernon', 'Joseph A Richards', 'Henry Sherbourne']","Newport, Newport, Rhode Island",Henry Sherbourne,"[[['Samuel Vernon']], [['Henry Sherburne Transferred from the Register of the Treasury', 'Joseph A Richards transfer from Register', 'Samuel Vernon transfer from register'], ['William Wheater transferred from the books of the Register as of Warrant No 10,101', 'Joseph A Richards transfer from register', 'Matthew Watson Transferred from the Office of William Imlay Connecticut']], [['Henry Sherburne']]]",[],3,1,1206.0,80.0,1201.0,6,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry_Sherburne&name_x=s_s&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
77,"['Samuel Vernon', 'Joseph A Richards', 'Henry Sherbourne']",Rhode Island,Joseph A Richards,"[[['Samuel Vernon']], [['Henry Sherburne Transferred from the Register of the Treasury', 'Joseph A Richards transfer from Register', 'Samuel Vernon transfer from register'], ['William Wheater transferred from the books of the Register as of Warrant No 10,101', 'Joseph A Richards transfer from register', 'Matthew Watson Transferred from the Office of William Imlay Connecticut']], [['Henry Sherburne']]]",[],3,1,1206.0,80.0,1201.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph+A_Richards&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
78,"['Philip Livingston', 'Philip H Livingston']",,Philip Livingston,"['Philip Livingston', 'Philip H Livingston']",,2,1,1200.0,600.0,864.0,,,No Match,Too Many Potential Matches Found (4),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Philip_Livingston&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
79,"['William Wister', 'William  Wistar']", Philadelphia,William Wister,"[[['William Wister', 'William Wistar'], ['William Wister']], [['William Wister', 'William Wistar']]]","['Merchant', 'Mercht']",2,2,1166.0,682.0,836.0,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Wister&name_x=s_s&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
80,"['Mary Beeze', 'Mary  Beers']","Philadelphia, Philadelphia, Pennsylvania",Mary Beeze,"[[['Mary Beeze', 'Mary Beere']], [['Mary Beeze', 'Mary Beere']]]",['G. Woman'],2,1,1119.0,609.0,373.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mary_Beeze&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
81,"['John Rathburn', 'John Rathbun']","Stonington, New London, Connecticut",John Rathbun,"[[['John Rathbun', 'John Rathburn']], [['John Rathbun', 'John Rathburn']]]",['Trader'],2,1,1028.0,564.0,916.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Rathbun&name_x=ps_ps&residence=_stonington-new+london-connecticut-usa_3399&residence_x=1-0_1-1,Aggregated CD debt files
82,"['Randolph B', 'Randolph Lattimore']","Anne Arundel, Maryland",Randolph Lattimore,"[[['Randolph B Latimer'], ['Randolph B Latimer', 'Randolph Brandt Latimer'], ['Randolph B Latimer', 'Randloph B Latimer']], [['Randolph B Latimer', 'Randolph Brandt Latimer']]]",[],2,2,1027.0,612.0,1009.0,,,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Randolph+Brandt_Latimer&name_x=s_s&residence=_annapolis-anne+arundel-maryland-usa_6128&residence_x=1-0_1-1,Aggregated CD debt files
83,"['Gatriel Heister', 'Gabriel Hiester']","Reading Berks, Berks, Pennsylvania",Gatriel Heister,"[[['Gabriel Heister', 'Gatriel Heister']], [['Gabriel Hiester', 'Gabriel Heister'], ['Gabriel Hiester', 'Gabriel Heister'], ['Gabriel Heister', 'Gatriel Heister']]]",[],2,1,994.0,547.0,288.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gatriel_Heister&name_x=ps_ps&residence=_berks-pennsylvania-usa_295&residence_x=1-0_1-1,Aggregated CD debt files
84,"['Lucy Orme', 'Lucy Orne']","Montgomery, Maryland",Lucy Orne,"[[['Lucy Orne', 'Lucy Orme']], [['Lucy Orne', 'Lucy Orme']]]",[],2,1,976.0,488.0,987.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Lucy_Orne&name_x=ps_ps&residence=_montgomery-maryland-usa_2081&residence_x=1-0_1-0,Aggregated CD debt files
85,"['Robert Mclauglin', 'Robert Laughlin']","Chester, Pennsylvania",Robert Mclauglin,"[[['Robert McLauglin', 'Robert McLaughlin']], [['Robert McLauglin', 'Robert McLaughlin']]]",[],2,1,954.0,527.0,276.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Mclauglin&name_x=ps_ps&residence=_chester-pennsylvania-usa_583&residence_x=1-0_1-0,Aggregated CD debt files
86,"['Love Stone', 'Joseph Veasey']",South Carolina,Love Stone,"[[['Love Stone and Joseph Vesey']], [['Love Stone and Joseph Vesey']]]",['Administrators of Joseph Darrell'],2,1,947.0,2871.0,920.0,,,No Match,Too Many Potential Matches Found (5),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Love_Stone&name_x=1_1&residence=_South Carolina-usa_43&residence_x=1-0_1-0,Aggregated CD debt files
87,"['John Parker', 'John Parker As Gaurdian']","Roxbury, Suffolk, Massachusetts",John Parker As Gaurdian,"[[['John Parker as Guardian', 'John Parker as Gaurdian']], [['John Parker as Guardian', 'John Parker as Gaurdian']]]",['Yeoman'],2,1,874.0,437.0,357.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John+Parker+As_Gaurdian&name_x=ps_ps&residence=_roxbury-suffolk-massachusetts-usa_4680&residence_x=1-0_1-1,Aggregated CD debt files
88,"['Samuel Harvard', 'Saml Havert']","Chester, Pennsylvania",Samuel Harvard,"[[['Samuel Havard', 'Samuel Harvard']], [['Samuel Havard', 'Samuel Harvard']]]",[],2,1,868.0,435.0,447.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Harvard&name_x=ps_ps&residence=_chester-pennsylvania-usa_583&residence_x=1-0_1-0,Aggregated CD debt files
89,"['Samuel Smith', 'Sam Smith']","Baltimore, Baltimore, Maryland",Sam Smith,"[[['Samuel Smith', 'Sam Smith']], [['Samuel Smith', 'Sam Smith']]]",['Merchant'],2,1,845.0,422.0,1044.0,,,No Match,Too Many Potential Matches Found (5),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Sam_Smith&name_x=s_s&residence=_baltimore-maryland-usa_223&residence_x=1-0_1-0,Aggregated CD debt files
90,"['Amos Shepard', 'Amos Shephard']",New Hampshire,Amos Shepard,"[[['Amos Shephard', 'Amos Shepard']], [['Amos Shephard', 'Amos Shepard']]]",['Farmer'],2,1,782.0,391.0,288.0,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Amos_Shepard&name_x=ps_ps&residence=_new+hampshire-usa_32&residence_x=1-0_1-0-a,Aggregated CD debt files
91,"['John Conter', 'John Contee']","Prince George's, Maryland",John Conter,"[[['John Conter', 'John Contee']], [['John Conter', 'John Contee']]]",[],2,1,773.0,436.0,708.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Conter&name_x=ps_ps&residence=_prince+george+s-maryland-usa_2438&residence_x=1-0_1-0,Aggregated CD debt files
92,"['Alexander  Fullerton', 'William Honeyman']","Philadelphia, Philadelphia, Pennsylvania",William Honeyman,"[[['Alexander Fullerton'], ['Alexander Fullerton', 'Alexander Fullerton and William Honeyman Deceased']], [['Alexander Fullerton', 'Alexander Fullerton and William Honeyman Deceased']]]","['Ex of William Honeyman', 'Shopkeeper']",2,1,764.0,382.0,241.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Honeyman&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
93,"['Philip Mark', 'Jacob Van Der Mark']","New York City East Ward, New York, New York",Philip Mark,['Jacob and Philip Mark'],,2,1,757.0,428.0,233.0,6.0,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Philip_Mark&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
